N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
85,쌍용C&E,"7,830",50,+0.64%,100,"39,452","503,860",3.54,"208,904",25.26,7.92,
86,한미사이언스,"58,500","2,600",+4.65%,500,"39,373","67,305",1.73,"59,298",128.85,3.47,
87,한진칼,"58,800","1,800",+3.16%,"2,500","39,242","66,739",14.76,"26,875",-40.14,-19.55,
88,삼성중공업,"6,080",180,+3.05%,"1,000","38,304","630,000",14.00,"1,291,015",-2.67,-33.06,
89,팬오션,"7,100",50,-0.70%,"1,000","37,954","534,570",11.65,"3,843,045",21.78,3.25,
90,한솔케미칼,"324,000","3,000",-0.92%,"5,000","36,726","11,335",41.68,"38,173",25.80,24.50,
91,NH투자증권,"12,750",250,+2.00%,"5,000","35,880","281,409",18.64,"302,521",4.54,10.32,
92,GS건설,"41,800","1,600",+3.98%,"5,000","35,773","85,581",26.23,"190,046",11.03,7.68,
93,호텔신라,"91,000","1,800",+2.02%,"5,000","35,716","39,248",16.90,"268,781",-27.68,-36.74,
94,CJ대한통운,"151,500","1,000",+0.66%,"5,000","34,561","22,812",22.71,"11,327",99.28,3.89,
95,메리츠화재,"28,650","1,100",-3.70%,500,"34,559","120,625",10.69,"147,680",6.54,16.91,
96,GS리테일,"32,750",300,+0.92%,"1,000","34,295","104,718",9.63,"103,326",17.97,7.50,
97,롯데지주,"32,650",550,+1.71%,200,"34,253","104,909",8.16,"39,606",46.64,-3.03,
98,현대차2우B,"93,800",700,+0.75%,"5,000","34,223","36,485",60.84,"21,603",6.80,N/A,
99,KCC,"381,500","11,000",+2.97%,"5,000","33,902","8,886",14.34,"27,267",3.97,12.79,
100,신풍제약,"63,300","4,400",+7.47%,500,"33,539","52,985",7.69,"615,404","1,055.00",1.72,
101,SK케미칼,"283,500","13,000",+4.81%,"5,000","33,315","11,751",16.10,"155,849",36.02,30.49,
102,메리츠증권,"4,850",130,+2.75%,"1,000","33,064","681,731",14.30,"458,650",5.17,13.08,
103,OCI,"136,500","14,500",-9.60%,"5,000","32,554","23,849",21.15,"932,014",112.44,-9.89,
104,에스원,"83,700","1,600",+1.95%,500,"31,805","37,999",53.93,"17,978",21.70,10.48,
105,한미약품,"261,500","10,500",+4.18%,"2,500","31,585","12,078",13.43,"20,771",136.77,1.65,
106,한화시스템,"16,550",350,+2.16%,"5,000","31,266","188,919",2.79,"478,463",17.95,9.35,
107,한국항공우주,"32,000",650,+2.07%,"5,000","31,192","97,475",13.27,"191,019",158.42,6.39,
108,두산퓨얼셀,"47,100",600,+1.29%,100,"30,848","65,494",13.28,"280,606",785.00,4.18,
109,BGF리테일,"177,500","5,000",+2.90%,"1,000","30,679","17,284",33.24,"8,620",21.86,18.60,
110,녹십자,"262,500","2,000",+0.77%,"5,000","30,677","11,687",21.68,"65,735",32.82,7.48,
111,한화생명,"3,505",135,-3.71%,"5,000","30,442","868,530",8.17,"7,342,115",5.55,1.90,
112,동서,"29,650",550,+1.89%,500,"29,561","99,700",3.19,"85,968",27.35,8.61,
113,CJ,"100,500","3,000",+3.08%,"5,000","29,323","29,177",17.75,"69,589",68.69,1.89,
114,효성첨단소재,"651,000","11,000",+1.72%,"5,000","29,164","4,480",14.06,"67,332",19.84,0.03,
115,롯데쇼핑,"102,500",500,+0.49%,"5,000","28,996","28,289",10.39,"31,144",-5.01,-7.70,
116,씨에스윈드,"68,700","1,300",+1.93%,500,"28,972","42,171",10.64,"244,016",48.72,8.19,
117,더존비즈온,"94,400","2,500",+2.72%,500,"28,642","30,341",41.77,"45,457",46.00,15.09,
118,BNK금융지주,"8,700",90,+1.05%,"5,000","28,356","325,935",39.39,"503,823",4.19,6.11,
119,LG화학우,"360,500","7,000",-1.90%,"5,000","27,718","7,689",69.70,"4,249",9.71,N/A,
120,현대오토에버,"100,000","6,700",+7.18%,500,"27,424","27,424",1.95,"88,708",36.08,11.09,
121,포스코인터내셔널,"22,200","1,100",-4.72%,"5,000","27,389","123,375",8.63,"1,737,006",9.29,7.69,
122,대우건설,"6,520",280,+4.49%,"5,000","27,099","415,623",11.70,"863,806",5.94,11.06,
123,키움증권,"103,000","2,000",+1.98%,"5,000","27,006","26,220",24.53,"44,829",2.77,27.63,
124,한화,"35,400","1,000",+2.91%,"5,000","26,535","74,959",18.65,"316,577",6.80,4.79,
125,효성티앤씨,"612,000","19,000",+3.20%,"5,000","26,485","4,328",23.38,"29,249",5.24,25.10,
126,제일기획,"22,900",50,-0.22%,200,"26,344","115,041",33.11,"198,485",14.09,16.11,
127,대우조선해양,"24,450",550,+2.30%,"5,000","26,233","107,291",6.74,"171,610",-1.80,2.27,
128,현대미포조선,"65,100","3,000",+4.83%,"5,000","26,002","39,942",11.19,"176,471",-14.31,-0.84,
129,DL이앤씨,"133,000","5,000",+3.91%,"5,000","25,747","19,359",26.51,"55,061",N/A,N/A,
130,신세계,"260,000","2,000",+0.78%,"5,000","25,597","9,845",27.40,"25,261",31.73,-2.81,
131,한샘,"108,500","3,500",+3.33%,"1,000","25,534","23,534",18.97,"43,119",30.71,10.83,
132,만도,"53,500",600,+1.13%,"1,000","25,122","46,957",24.38,"267,969",10.59,0.37,
133,현대로템,"23,000",450,+2.00%,"5,000","25,103","109,142",3.77,"460,398",73.95,2.84,
134,한화에어로스페이스,"49,050",900,+1.87%,"5,000","24,834","50,630",18.50,"238,721",9.49,4.78,
135,현대해상,"27,500",50,+0.18%,500,"24,585","89,400",27.49,"621,613",6.37,7.13,
136,휠라홀딩스,"40,300",950,+2.41%,"1,000","24,483","60,752",47.53,"211,025",10.16,10.94,
137,하이트진로,"34,550",650,+1.92%,"5,000","24,231","70,134",4.43,"198,789",34.58,8.23,
138,코오롱인더,"89,200",100,+0.11%,"5,000","24,065","26,979",22.29,"359,442",17.87,9.70,
139,효성,"110,000",500,+0.46%,"5,000","23,178","21,071",9.55,"17,982",15.01,-2.26,
140,현대차우,"94,100",600,+0.64%,"5,000","22,920","24,357",58.85,"14,219",6.82,N/A,
